Genre,Alert,Notification,Immersiveness,Preference
action,Health,Status Update,Browsing,Control opacity
shooter,Environment,Status Update,DND,Control opacity
360 VR,Maintenance,Unscheduled,DND,Control opacity
sports,Maintenance,Scheduled,Highly,Control opacity
shooter,Maintenance,Unscheduled,Highly,Increase player speed
adventure,Security,Unscheduled,Moderate,Control Audio
shooter,Environment,Status Update,DND,Control opacity
art/creativity,Environment,Unscheduled,DND,Control opacity
relaxation/meditation,Health,Scheduled,DND,Increase player speed
Travel,Health,Status Update,Browsing,Increase player speed
360 VR,Maintenance,Scheduled,DND,Control opacity
relaxation/meditation,Health,Unscheduled,DND,Control Audio
relaxation/meditation,Health,Unscheduled,Browsing,Control opacity
sports,Maintenance,Scheduled,Browsing,Control opacity
simulation,Health,Status Update,DND,Increase player speed
productivity,Maintenance,Unscheduled,Moderate,Increase player speed
art/creativity,Environment,Scheduled,Browsing,Control opacity
Travel,Environment,Scheduled,Highly,Control opacity
shooter,Maintenance,Status Update,DND,Control Audio
productivity,Maintenance,Unscheduled,Highly,Control Audio
relaxation/meditation,Health,Scheduled,Moderate,Control opacity
art/creativity,Maintenance,Unscheduled,Browsing,Control opacity
shooter,Environment,Scheduled,Moderate,Control Audio
art/creativity,Maintenance,Scheduled,Browsing,Control opacity
productivity,Health,Scheduled,DND,Control Audio
productivity,Maintenance,Scheduled,Browsing,Increase player speed
sports,Environment,Unscheduled,Moderate,Control Audio
action,Maintenance,Status Update,DND,Increase player speed
simulation,Maintenance,Unscheduled,Browsing,Control Audio
adventure,Health,Status Update,Moderate,Control Audio
art/creativity,Security,Scheduled,Browsing,Control Audio
360 VR,Maintenance,Status Update,Browsing,Control Audio
shooter,Environment,Scheduled,DND,Increase player speed
Travel,Maintenance,Status Update,Browsing,Control opacity
productivity,Health,Unscheduled,Browsing,Increase player speed
Travel,Maintenance,Scheduled,Highly,Increase player speed
sports,Environment,Unscheduled,Browsing,Control opacity
adventure,Environment,Unscheduled,Browsing,Increase player speed
productivity,Health,Scheduled,Highly,Control Audio
art/creativity,Environment,Scheduled,Moderate,Control Audio
art/creativity,Health,Unscheduled,Browsing,Control Audio
productivity,Environment,Unscheduled,DND,Control Audio
shooter,Security,Unscheduled,Moderate,Control opacity
art/creativity,Security,Status Update,DND,Control Audio
shooter,Maintenance,Status Update,Moderate,Control opacity
relaxation/meditation,Health,Status Update,Browsing,Control Audio
adventure,Environment,Status Update,Moderate,Control Audio
adventure,Security,Status Update,DND,Control opacity
simulation,Environment,Status Update,Moderate,Control Audio
streaming,Health,Scheduled,Moderate,Increase player speed
360 VR,Security,Unscheduled,DND,Increase player speed
shooter,Health,Status Update,DND,Control opacity
shooter,Environment,Status Update,Highly,Control opacity
art/creativity,Maintenance,Scheduled,DND,Control Audio
adventure,Environment,Scheduled,Highly,Increase player speed
adventure,Maintenance,Unscheduled,DND,Control opacity
art/creativity,Security,Status Update,Moderate,Control opacity
simulation,Health,Unscheduled,Highly,Increase player speed
action,Environment,Status Update,Browsing,Control opacity
art/creativity,Security,Unscheduled,DND,Control opacity
simulation,Health,Scheduled,Highly,Control opacity
adventure,Environment,Status Update,Moderate,Control Audio
action,Health,Scheduled,Highly,Control Audio
art/creativity,Maintenance,Status Update,Moderate,Increase player speed
action,Maintenance,Scheduled,Browsing,Increase player speed
shooter,Maintenance,Scheduled,Browsing,Increase player speed
action,Environment,Unscheduled,Browsing,Control opacity
relaxation/meditation,Environment,Scheduled,Browsing,Increase player speed
relaxation/meditation,Security,Status Update,Moderate,Control opacity
shooter,Environment,Unscheduled,Browsing,Increase player speed
productivity,Environment,Scheduled,DND,Increase player speed
360 VR,Security,Status Update,DND,Increase player speed
360 VR,Health,Unscheduled,Browsing,Control Audio
adventure,Health,Status Update,Browsing,Increase player speed
shooter,Security,Status Update,DND,Control Audio
adventure,Health,Unscheduled,Highly,Control Audio
sports,Health,Scheduled,Moderate,Increase player speed
action,Security,Unscheduled,DND,Control Audio
art/creativity,Health,Status Update,DND,Control opacity
sports,Environment,Unscheduled,DND,Control opacity
art/creativity,Environment,Unscheduled,DND,Increase player speed
sports,Security,Status Update,Highly,Control opacity
relaxation/meditation,Environment,Scheduled,Highly,Control Audio
art/creativity,Health,Unscheduled,Moderate,Control Audio
simulation,Maintenance,Unscheduled,Browsing,Control Audio
simulation,Security,Unscheduled,Browsing,Control Audio
360 VR,Security,Scheduled,Browsing,Control opacity
action,Maintenance,Status Update,Highly,Control Audio
action,Health,Unscheduled,DND,Control opacity
Travel,Maintenance,Unscheduled,DND,Increase player speed
simulation,Security,Status Update,Moderate,Control opacity
productivity,Health,Unscheduled,Browsing,Increase player speed
sports,Environment,Status Update,Highly,Control opacity
Travel,Health,Scheduled,Moderate,Control Audio
Travel,Maintenance,Unscheduled,Moderate,Control opacity
relaxation/meditation,Security,Unscheduled,DND,Increase player speed
action,Maintenance,Status Update,DND,Control Audio
streaming,Security,Status Update,Browsing,Control Audio
sports,Maintenance,Unscheduled,Browsing,Control opacity
Travel,Health,Status Update,Moderate,Increase player speed
action,Health,Unscheduled,Browsing,Control opacity
Travel,Environment,Unscheduled,DND,Increase player speed
sports,Maintenance,Status Update,DND,Increase player speed
productivity,Environment,Status Update,Moderate,Control opacity
productivity,Health,Unscheduled,Browsing,Control Audio
360 VR,Maintenance,Scheduled,DND,Increase player speed
productivity,Maintenance,Status Update,DND,Control Audio
Travel,Environment,Scheduled,Browsing,Control opacity
360 VR,Security,Unscheduled,DND,Control opacity
adventure,Environment,Scheduled,Browsing,Control Audio
sports,Security,Scheduled,DND,Control Audio
streaming,Environment,Scheduled,Browsing,Control Audio
360 VR,Maintenance,Scheduled,Moderate,Control Audio
360 VR,Environment,Unscheduled,Browsing,Increase player speed
adventure,Health,Scheduled,Highly,Control Audio
art/creativity,Health,Scheduled,Highly,Control opacity
sports,Health,Status Update,DND,Increase player speed
adventure,Health,Unscheduled,DND,Control opacity
sports,Environment,Unscheduled,Moderate,Increase player speed
adventure,Environment,Scheduled,Browsing,Increase player speed
productivity,Environment,Scheduled,DND,Control opacity
action,Security,Status Update,DND,Increase player speed
simulation,Maintenance,Status Update,DND,Control opacity
Travel,Environment,Unscheduled,Browsing,Control opacity
streaming,Health,Scheduled,Moderate,Increase player speed
art/creativity,Security,Status Update,Moderate,Control Audio
adventure,Health,Scheduled,Moderate,Control Audio
streaming,Environment,Scheduled,Highly,Control Audio
streaming,Health,Unscheduled,Browsing,Control opacity
relaxation/meditation,Health,Status Update,Moderate,Control opacity
sports,Security,Status Update,DND,Increase player speed
360 VR,Maintenance,Scheduled,Moderate,Control Audio
streaming,Security,Scheduled,Highly,Increase player speed
streaming,Maintenance,Scheduled,DND,Control opacity
360 VR,Environment,Status Update,Browsing,Control opacity
relaxation/meditation,Environment,Unscheduled,Highly,Control opacity
productivity,Maintenance,Scheduled,Moderate,Control opacity
relaxation/meditation,Health,Unscheduled,Browsing,Control Audio
simulation,Maintenance,Unscheduled,Browsing,Control opacity
sports,Health,Scheduled,DND,Control opacity
sports,Maintenance,Status Update,DND,Control opacity
art/creativity,Health,Scheduled,Moderate,Increase player speed
sports,Security,Unscheduled,Highly,Increase player speed
360 VR,Maintenance,Scheduled,Highly,Control opacity
art/creativity,Environment,Status Update,Highly,Control Audio
simulation,Health,Scheduled,Highly,Control opacity
action,Environment,Scheduled,Moderate,Control Audio
simulation,Maintenance,Unscheduled,Moderate,Control opacity
action,Environment,Status Update,Highly,Increase player speed
shooter,Environment,Status Update,Browsing,Control Audio
adventure,Maintenance,Scheduled,DND,Increase player speed
art/creativity,Health,Status Update,Highly,Increase player speed
streaming,Health,Status Update,Highly,Increase player speed
streaming,Maintenance,Scheduled,Highly,Control opacity
simulation,Environment,Status Update,DND,Control Audio
relaxation/meditation,Health,Scheduled,Highly,Control Audio
Travel,Health,Scheduled,Browsing,Control opacity
360 VR,Health,Unscheduled,DND,Increase player speed
adventure,Health,Status Update,DND,Control Audio
simulation,Environment,Status Update,DND,Control Audio
sports,Maintenance,Status Update,Highly,Control Audio
productivity,Environment,Unscheduled,DND,Increase player speed
productivity,Maintenance,Status Update,Browsing,Control Audio
action,Health,Status Update,Moderate,Increase player speed
relaxation/meditation,Security,Unscheduled,DND,Control opacity
streaming,Health,Unscheduled,Highly,Control opacity
shooter,Security,Status Update,Moderate,Control Audio
relaxation/meditation,Maintenance,Scheduled,Browsing,Control opacity
relaxation/meditation,Security,Status Update,Moderate,Control opacity
adventure,Maintenance,Status Update,Highly,Control opacity
simulation,Environment,Status Update,Highly,Control opacity
streaming,Environment,Scheduled,Moderate,Control opacity
360 VR,Maintenance,Status Update,Moderate,Control Audio
action,Maintenance,Unscheduled,Highly,Increase player speed
streaming,Environment,Unscheduled,Browsing,Increase player speed
simulation,Health,Status Update,Moderate,Increase player speed
sports,Environment,Status Update,Highly,Control Audio
Travel,Maintenance,Scheduled,Browsing,Control opacity
360 VR,Health,Unscheduled,DND,Control opacity
adventure,Health,Status Update,DND,Control Audio
360 VR,Environment,Unscheduled,Browsing,Increase player speed
Travel,Security,Scheduled,Highly,Control Audio
art/creativity,Environment,Unscheduled,Moderate,Control opacity
streaming,Security,Unscheduled,Moderate,Increase player speed
art/creativity,Environment,Unscheduled,Moderate,Control opacity
streaming,Health,Unscheduled,Moderate,Control opacity
sports,Environment,Scheduled,Highly,Increase player speed
360 VR,Health,Scheduled,Browsing,Increase player speed
streaming,Environment,Status Update,DND,Control opacity
streaming,Maintenance,Status Update,Highly,Increase player speed
relaxation/meditation,Environment,Unscheduled,Moderate,Control Audio
simulation,Maintenance,Status Update,Browsing,Control Audio
streaming,Maintenance,Status Update,Moderate,Control opacity
360 VR,Health,Scheduled,Highly,Increase player speed
Travel,Health,Unscheduled,DND,Control Audio
productivity,Environment,Unscheduled,Browsing,Control Audio
sports,Health,Scheduled,Highly,Control opacity
productivity,Environment,Unscheduled,Moderate,Control Audio
360 VR,Environment,Status Update,Highly,Control opacity
productivity,Security,Status Update,DND,Increase player speed
streaming,Security,Status Update,Moderate,Control opacity
360 VR,Security,Unscheduled,DND,Control Audio
shooter,Health,Status Update,DND,Control opacity
productivity,Environment,Scheduled,Moderate,Control opacity
shooter,Security,Scheduled,Highly,Control opacity
relaxation/meditation,Maintenance,Status Update,Browsing,Increase player speed
relaxation/meditation,Security,Scheduled,Highly,Increase player speed
art/creativity,Environment,Unscheduled,Browsing,Control Audio
streaming,Environment,Status Update,DND,Control opacity
adventure,Environment,Scheduled,Highly,Control opacity
action,Security,Unscheduled,Highly,Control opacity
360 VR,Security,Scheduled,DND,Control opacity
relaxation/meditation,Security,Status Update,Highly,Increase player speed
streaming,Maintenance,Status Update,Moderate,Control Audio
